id,nombre,direccion,tipo_actividad,recoleccion,telefono,email,responsable_ambiente,cuit,sector,localidad_id
403,VILA NATHALIA,RIVADAVIA N° 866,ODONTÓLOGOS,3 X SEMANA,,,,,,1
404,BASE AERONAVAL ALMIRANTE ZAR,Ruta 3 S/N,ENFERMERÍAS,3 X SEMANA,,,,,,1
405,PERIF. TIRO FEDERAL,SAAVEDRA Y LEZANA NORTE,CENTROS DE SALUD,3 X SEMANA,,,,,,1
406,CENTRO MÉDICO GAIMAN S.R.L,SAN MARTÍN N° 1251,CLINICAS Y SANAT.,DIARIA,,,,,,1
407,MOLINA MARIANO,SAN MARTIN N° 1579,ODONTÓLOGOS,3 X SEMANA,,,,,,1
408,YUNES JOSE FRANCISCO,SAN MARTIN N° 306- 1 PISO OF 4,ODONTÓLOGOS,3 X SEMANA,,,,,,1
409,CARBONE ANA LUCIA,SAN MARTIN N° 541,ODONTÓLOGOS,3 X SEMANA,,,,,,1
410,GANDOLFO GUSTAVO,SAN MARTIN N° 549,ODONTÓLOGOS,3 X SEMANA,,,,,,1
411,ERASO EDGARDO,SAN MARTÍN N° 549,ODONTÓLOGOS,3 X SEMANA,,,,,,1
412,SANATORIO SAN MARTIN,SAN MARTÍN N° 696,CLINICAS Y SANAT.,DIARIA,,,,,,1
413,MATERNO INFANTIL,SAN MARTÍN N° 696,CLINICAS Y SANAT.,DIARIA,,,,,,1
414,DE MARZO SANDRA NOEMI,SAN MARTÍN N° 697,ODONTÓLOGOS,3 X SEMANA,,,,,,1
415,ENFERMERIA INTEGRAL,SAN MARTIN N° 815,ENFERMERÍAS,3 X SEMANA,,,,,,1
416,DOLHEGUY BRAVO FLORENCIA,SAN MARTIN N° 875,CLINICAS Y SANAT.,DIARIA,,,,,,1
417,CLINICA SAN MIGUEL (MERKER SERGIO),SAN MARTÍN N° 898,CLINICAS Y SANAT.,DIARIA,,,,,,1
418,SOFIMED S.R.L,SAN MARTÍN N° 898,CLINICAS Y SANAT.,DIARIA,,,,,,1
419,TERAPIA INTENSIVA NATIVUS S.R.L,SAN MARTÍN N° 899 1° PISO,CLINICAS Y SANAT.,DIARIA,,,,,,1
420,DROGUERIA MEDICAL TOOLS S.R.L,SAN MARTIN Nº 1182,LABORATORIO,DIARIA,,,,,,1
421,CAORSI LUIS FRANCISCO,SAN MARTIN Nº 624,CLINICAS Y SANAT.,DIARIA,,,,,,1
422,ROSTAGNO JIUDICI LUCIANO MARIO,SAN MARTIN Nº 624,CLINICAS Y SANAT.,DIARIA,,,,,,1
423,DI.B.A.C   S. R. L,SAN MARTIN Nº 856,LABORATORIO,DIARIA,,,,,,1
424,CARRIZO LIDIA,SAN MARTIN Nº 898,LABORATORIO,DIARIA,,,,,,1
425,MEDIVEN S.A,SAN MARTIN Nº 971,LABORATORIO,DIARIA,,,,,,1
426,SOSA CABALLERO,SAN MARTIN Y PECORARO,VARIOS,3 X SEMANA,,,,,,1
427,FARMACIA DASU,SARMIENTO N° 325,FARMACIAS,3 X SEMANA,,,,,,1
428,D.A.S.U.(CONSULT.ODONTOLÓGICO),SARMIENTO N° 340,ODONTÓLOGOS,3 X SEMANA,,,,,,1
429,MARIGUAL JORGE,SARMIENTO N° 595,ODONTÓLOGOS,3 X SEMANA,,,,,,1
430,MOHR EDGARDO,SARMIENTO Nº 268,PODOLOGOS,3 X SEMANA,,,,,,1
431,WHITE TRASH TATOO,SARMIENTO Nº 523,TATUAJES,3 X SEMANA,,,,,,1
432,RITUAL TATOO & PIERCING,SARMIENTO Nº 584,TATUAJES,3 X SEMANA,,,,,,1
433,WILLIAMS DIANA KARINA,SARMIENTO Nº 594 (ENTRE PERÚ Y HONDURAS),ODONTÓLOGOS,3 X SEMANA,,,,,,1
434,MARIGUAL CARLOS,SARMIENTO Nº 595,ODONTÓLOGOS,3 X SEMANA,,,,,,1
435,HOGAR “LOS NONOS”,SCALABRINI ORTIZ Y MAIPÚ,GERIATRICOS Y ASILOS,3 X SEMANA,,,,,,1
436,ALCAIDIA POLICIAL-CENTRO DE DETENCIÓN,SOB. NAC. Y CUBA-LOBATO Y PATRICIAS ARG.,ENFERMERÍAS,3 X SEMANA,,,,,,1
437,VETERINARIA LOS CENCERROS,SOB.NACIONAL Y PELLEGRINI,VETERINARIA,3 X SEMANA,,,,,,1
438,"HOG.DE ANCIANOS""PEDRO DETTORI""",SOBERANÍA NACIONAL 2000,GERIATRICOS Y ASILOS,3 X SEMANA,,,,,,1
439,CAMPOS ANTONIO,SOBERANÍA NACIONAL N° 410(CONS. DR CAMPOS),ODONTÓLOGOS,3 X SEMANA,,,,,,1
440,BUGALLO SEBASTIAN PABLO,SOBERANÍA NACIONAL N° 801(ESQ.MARCONI),ODONTÓLOGOS,3 X SEMANA,,,,,,1
441,GONZALEZ PUNTER ANDREA,SOBERANÍA NACIONAL N° 96,ODONTÓLOGOS,3 X SEMANA,,,,,,1
442,POLANCO HÉCTOR,SOBERANÍA NACIONAL N° 99,ODONTÓLOGOS,3 X SEMANA,,,,,,1
443,CENTRO ESPECIALIDADES OFTALMOLÓGICAS (CEO),SOBERANÍA NACIONAL Nº 284,OTALMOLOGOS,3 X SEMANA,,,,,,1
444,"HOGAR DE ADULTOS MAYORES"" LA CASA DE LILI""",SOBERANÍA NACIONAL Nº 3440,GERIATRICOS Y ASILOS,3 X SEMANA,,,,,,1
445,VETERINARIA DIOGENES,SOBERANÍA NACIONAL Y BELGRANO,VETERINARIA,3 X SEMANA,,,,,,1
446,VETERINARIA SURVET,URQUIZA Nº 1041,VETERINARIA,3 X SEMANA,,,,,,1
447,OBRA SOCIAL DE COND. CAMIONEROS,URQUIZA Nº 255,VARIOS,3 X SEMANA,,,,,,1
448,PERIF. SARMIENTO,VEGWYN ENTRE BS.AS Y URUGUAY,CENTROS DE SALUD,3 X SEMANA,,,,,,1
449,NICADPI,VELERO MIMOSA Y ALEM,CENTROS DE SALUD,3 X SEMANA,,,,,,1
450,VETERINARIA BRYN GWYN,YRIGOYEN N° 1580,VETERINARIA,3 X SEMANA,,,,,,1
451,VETERINARIA ANIMAL,YRIGOYEN N° 2013,VETERINARIA,3 X SEMANA,,,,,,1
452,ATHENEA S.A.,YRIGOYEN N° 2315,CLINICAS Y SANAT.,DIARIA,,,,,,1
453,CLINICA VETERINARIA INTEGRAL,YRIGOYEN Nº 846,VETERINARIA,3 X SEMANA,,,,,,1
